StockPrice,Price,Delta,Gamma,Vega
80,0,0,0,0
81,0,0,0,0
82,0,0,0,0
83,0,0,0,0
84,0,0,0,0
85,0,0,-0.00657901,0
86,7.05382e-07,1.07386e-05,-0.285746,0.000692012
87,5.61016e-05,0.000138847,-0.234111,0.00714195
88,0.000352718,0.000530829,0.279985,0.0252285
89,0.00144588,0.00195963,0.926861,0.0945411
90,0.00551821,0.00712733,4.22846,0.317491
91,0.0182813,0.0205056,10.2793,0.830934
92,0.0533381,0.0530089,26.9755,1.88422
93,0.133012,0.11046,64.3272,3.43075
94,0.28612,0.200159,76.8818,5.33509
95,0.540411,0.310949,127.294,6.98981
96,0.909942,0.427377,209.698,7.99613
97,1.39448,0.539965,275.449,8.29538
98,1.98655,0.64106,360.189,7.97709
99,2.66953,0.722056,441.7,7.26637
100,3.42639,0.788809,521.17,6.31112
101,4.24231,0.840767,616.482,5.29609
102,5.10348,0.879736,694.318,4.34697
103,5.9987,0.909291,750.454,3.48291
104,6.91762,0.913627,765.493,1.03716
105,7.85403,0.940625,793.443,1.27603
106,8.79566,0.940771,776.226,9.96273
107,9.73327,0.950436,843.349,-4.76026
108,10.621,0.470204,1082.71,-20.4318
109,11.3567,1.26947,720.504,18.9135
110,11.834,0.609084,496.03,-19.522
111,11.8301,-0.28984,556.659,16.4597
112,11.2438,-1.23999,9.42936,-57.551
113,10.0519,-1.20572,-981.704,90.3342
114,8.4839,-3.14078,-722.533,-144.557
115,6.69074,-1.97049,-504.269,-36.5207
116,4.94969,-1.41714,-75.7658,-11.101
117,3.36197,-1.21808,-36.0271,-30.0795
118,2.01886,-1.37322,-801.818,-1.80818
119,0.950678,-1.12952,-73.2437,4.54788
