StockPrice,Price,Delta,Gamma,Vega
80,0,0,0,0
81,0,0,0,0
82,0,0,0,0
83,0,0,0,0
84,0,0,-0.0116948,0
85,9.27056e-07,2.17166e-06,-0.0446573,0.000143358
86,7.04092e-06,1.6811e-05,-0.182451,0.00107408
87,6.18478e-05,0.000109459,-0.285144,0.00589718
88,0.000329412,0.00052746,-0.290055,0.0270627
89,0.00144135,0.00199429,-0.352942,0.0957826
90,0.00545703,0.00694003,0.494954,0.307945
91,0.0182071,0.0207716,-0.127577,0.832072
92,0.0531347,0.0528947,1.06664,1.87895
93,0.13299,0.111989,-3.75368,3.47117
94,0.287142,0.200663,4.99123,5.34076
95,0.541331,0.310172,9.22122,6.97692
96,0.910084,0.427221,-4.36414,7.99431
97,1.39437,0.539605,-27.4006,8.29752
98,1.98512,0.639348,-40.5692,7.98107
99,2.6672,0.722092,-44.2934,7.26034
100,3.42364,0.788218,-37.3502,6.31446
101,4.23883,0.83988,-24.9474,5.30606
102,5.09888,0.878877,-28.3156,4.34688
103,5.99325,0.907194,-17.1161,3.3923
104,6.91288,0.955613,-12.1764,4.81786
105,7.84705,0.938828,-13.96,0.650573
106,8.78965,0.927825,-44.0786,5.3905
107,9.72453,0.889428,-11.1064,-3.88102
108,10.607,0.701285,-21.8707,-10.1424
109,11.3504,0.615731,-41.7642,-11.2243
110,11.8202,0.378693,32.4718,-25.6655
111,11.8201,-0.27617,-70.2102,-20.478
112,11.2259,-1.00559,-87.4942,-61.6059
113,10.0563,-1.29416,20.6669,-56.8853
114,8.46223,-2.11871,134.376,-33.1993
115,6.68792,-2.00439,-28.7556,-21.8418
116,4.93788,-1.4849,105.115,-3.98078
117,3.37092,-1.17962,173.34,11.0805
118,2.03936,-1.33843,171.253,12.3421
119,0.957429,-0.98746,6.54447,4.3735
