StockPrice,Price,Delta,Gamma,Vega
80,0,0,0,0
81,0,0,0,0
82,0,0,0,0
83,0,0,0,0
84,0,0,0,0
85,0,0,-0.0517256,0
86,5.2514e-06,3.14244e-05,-0.315494,0.00204152
87,8.09526e-05,0.000177405,-0.0453047,0.00936618
88,0.000424015,0.000582159,0.196855,0.0288486
89,0.00166698,0.00216141,0.940195,0.106126
90,0.00614969,0.00763726,5.15117,0.346662
91,0.0196969,0.0215585,10.2975,0.887846
92,0.0560895,0.0546408,28.4099,1.97363
93,0.137261,0.111842,64.433,3.52712
94,0.291725,0.201085,77.2095,5.43681
95,0.546715,0.311386,128.13,7.09557
96,0.91635,0.427299,209.863,8.09638
97,1.40089,0.540124,275.449,8.39263
98,1.99338,0.641697,360.366,8.06701
99,2.67747,0.723674,441.083,7.33827
100,3.43635,0.791293,520.383,6.36271
101,4.25521,0.844231,615.216,5.32381
102,5.12007,0.883868,691.531,4.35271
103,6.01967,0.914049,753.447,3.47279
104,6.9433,0.935764,780.605,2.71254
105,7.88487,0.966064,747.139,2.15453
106,8.83781,0.979917,787.004,1.52862
107,9.78299,1.07549,846.208,14.2115
108,10.6915,1.06668,805.65,-5.47864
109,11.4668,0.510043,806.322,-28.5587
110,11.995,0.151325,627.621,-26.2379
111,12.0273,-0.0359404,280.103,-56.393
112,11.4724,-1.01223,225.007,-29.0003
113,10.2731,-1.8908,-1240.68,-71.96
114,8.6119,-0.686456,-958.131,-40.4427
115,6.78123,-1.28234,-510.135,-40.1499
116,4.97542,-1.8237,83.7511,-20.6783
117,3.35445,-1.38828,281.532,15.6895
118,1.98125,-0.876638,-842.322,8.47978
119,0.918555,-1.0608,-133.134,-10.8459
