StockPrice,Price,Delta,Gamma,Vega
80,0,0,0,0
81,0,0,0,0
82,0,0,0,0
83,0,0,0,0
84,0,0,0,0
85,0,0,0,0
86,0,0,-0.202791,0
87,3.66979e-05,8.78912e-05,-0.356986,0.00446855
88,0.00027902,0.000457167,0.33386,0.0208144
89,0.00121385,0.00175507,0.886696,0.0814893
90,0.0048374,0.00639617,3.52393,0.277875
91,0.0166968,0.0193951,10.0925,0.767592
92,0.0501889,0.0513306,25.2492,1.78584
93,0.128075,0.108754,63.9493,3.31544
94,0.279562,0.19872,76.7017,5.20192
95,0.533,0.310527,126.415,6.86754
96,0.902386,0.427414,209.468,7.87889
97,1.38691,0.539745,275.548,8.17775
98,1.97843,0.640142,360.026,7.87277
99,2.66001,0.72021,442.45,7.17925
100,3.41437,0.785631,522.224,6.2521
101,4.2267,0.836702,617.817,5.25928
102,5.08334,0.874783,689.881,4.33577
103,5.97322,0.903677,700.198,3.49019
104,6.88697,0.942606,810.194,3.06669
105,7.81648,0.935502,858.755,1.7735
106,8.74807,0.878105,804.075,0.55256
107,9.66564,0.792044,769.214,-18.561
108,10.5253,0.664564,946.603,-26.2322
109,11.2433,0.633173,873.464,-31.7663
110,11.6421,0.379722,549.893,-41.2411
111,11.5956,-0.816273,952.366,-16.2651
112,10.9621,-0.915249,-37.9926,-66.7152
113,9.79171,-0.886189,-1210.45,-62.9345
114,8.30997,-1.60334,-792.632,-85.2375
115,6.58433,-2.43241,-607.952,-55.9136
116,4.91672,-2.12563,43.6411,-41.9044
117,3.37754,-1.41338,11.8828,-43.7197
118,2.05316,-1.16346,-800.461,9.61321
119,0.98073,-0.779782,-293.013,-1.03785
