StockPrice,Price,Delta,Gamma,Vega
80,4.05912e-05,4.55064e-05,-0.312869,0.00293384
81,0.000113884,0.00011894,0.200045,0.00727018
82,0.000262601,0.000201914,0.920593,0.0116927
83,0.000631635,0.000500853,1.26578,0.0286872
84,0.00139128,0.0011376,0.167711,0.0658569
85,0.00309471,0.00225867,0.72044,0.125923
86,0.0065566,0.00473146,4.16194,0.248576
87,0.0133261,0.00913137,10.3682,0.457428
88,0.025997,0.0171343,14.8542,0.792338
89,0.0500237,0.0323689,24.3058,1.36792
90,0.0939309,0.0569461,48.6789,2.19016
91,0.169121,0.0954047,90.4154,3.30206
92,0.291501,0.153613,97.5208,4.68319
93,0.483445,0.233275,135.02,6.14006
94,0.764931,0.332118,209.272,7.404
95,1.15377,0.441282,238.72,8.16374
96,1.6489,0.673362,263.548,20.3035
97,2.25663,0.657911,438.042,7.7784
98,2.95339,0.75534,413.368,8.15942
99,3.74031,0.812606,635.463,4.69838
100,4.58262,0.833846,712.12,3.55661
101,5.46377,0.963918,747.39,8.73001
102,6.37107,0.729375,753.26,-18.8915
103,7.28519,1.14362,766.219,14.649
104,8.19388,0.898585,993.365,-12.9691
105,9.04905,0.684346,668.481,-27.647
106,9.83933,1.03379,492.159,18.4412
107,10.507,0.528489,682.054,7.02632
108,10.9808,0.440738,447.809,16.8935
109,11.2013,0.740466,30.7406,-13.6201
110,11.0451,-0.556635,-405.135,-44.1002
111,10.5091,-0.947154,-1267.62,-67.9926
112,9.54175,-1.21838,-831.395,-5.96507
113,8.25182,-1.45205,-1139.67,-6.72496
114,6.74112,-1.58609,-367.826,55.905
115,5.13924,-1.25023,58.3684,-8.56661
116,3.65727,-1.58347,101.316,-7.14162
117,2.36742,-0.708052,-29.4955,70.4992
118,1.3305,-0.990649,-723.499,-6.92865
119,0.582342,-0.880359,50.0499,3.19024
